Activity,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,Q01,Q02,Q03,Q41,Q42,it
IT Fachkraft,0,0,0,0,0,0,0,0,10,10,0,0,0,60,20,0,10,10,0,0,0,True
Kundenbetreuerin,0,0,0,0,0,0,0,0,25,0,0,0,0,40,25,10,0,25,25,0,0,True
Controller,0,0,0,0,0,0,0,0,0,0,10,0,50,25,15,0,30,20,0,0,0,True
Hausmeister,0,90,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Sekretärin,0,0,0,0,0,0,0,0,0,0,0,0,40,20,40,0,50,10,0,0,0,True
Kundenbetreuer,0,0,0,0,0,0,0,0,20,0,10,0,20,20,20,10,10,20,20,0,0,True
Teamleiter Finanzen,0,0,0,0,0,0,0,0,20,0,50,0,10,10,10,0,20,30,30,0,0,True
Personalleiter,0,0,0,0,0,0,0,0,80,0,0,0,0,0,20,0,10,30,40,10,0,True
Marketing Managerin,0,0,0,0,0,0,0,0,0,80,10,0,0,10,0,0,5,40,25,0,0,True
Einkaufsleiterin,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,70,30,20,30,5,0,True
Reinigungskraft,0,0,0,0,0,0,0,100,0,0,0,0,0,10,0,0,0,0,0,0,0,False
